Row,ECN91,ECN92,ECN93,DMN94,DMN95,DMN96,DMN97,DMN98,DMN99,DMN100,DMN101
ECN91,0,0.00642580935226553,0.058512270849393,0.618712572083346,-0.12974297433706,0.0724711482990287,-0.0656789089399095,-0.0679488122478532,-0.0733766134287761,-0.0392564010797531,-0.103625779092952
ECN92,0.00642580935226553,0,0.652511450658769,-0.011397504820729,0.172525825915864,-0.0205049757142698,0.0818622500477175,-0.176977207810188,-0.185807841285145,-0.0554060909184193,-0.258298381016593
ECN93,0.058512270849393,0.652511450658769,0,0.187182562621781,0.256856318642181,-0.117470087588804,0.0220053852670659,0.00270701142642803,0.00315141660807608,-0.0266904120288053,-0.0956437271982261
DMN94,0.618712572083346,-0.011397504820729,0.187182562621781,0,0.058875060052841,-0.0242073299073188,-0.048709274939937,0.185269946410869,0.183738261135899,-0.0509594168758639,-0.0219122684063635
DMN95,-0.12974297433706,0.172525825915864,0.256856318642181,0.058875060052841,0,0.0725513822719011,0.070007640931087,0.149398046287099,0.20323422417267,0.11641259321576,0.155057220365765
DMN96,0.0724711482990287,-0.0205049757142698,-0.117470087588804,-0.0242073299073188,0.0725513822719011,0,0.307257973481025,-0.180316668686373,-0.107098956585933,0.0127501287335408,-0.00388395055381465
DMN97,-0.0656789089399095,0.0818622500477175,0.0220053852670659,-0.048709274939937,0.070007640931087,0.307257973481025,0,-0.0769294432911879,0.0138757591720589,0.0587902672929185,-0.0950887967619261
DMN98,-0.0679488122478532,-0.176977207810188,0.00270701142642803,0.185269946410869,0.149398046287099,-0.180316668686373,-0.0769294432911879,0,0.598506265990029,-0.0374704439433144,0.229721997381603
DMN99,-0.0733766134287761,-0.185807841285145,0.00315141660807608,0.183738261135899,0.20323422417267,-0.107098956585933,0.0138757591720589,0.598506265990029,0,-0.0275273705387686,0.0836648224701248
DMN100,-0.0392564010797531,-0.0554060909184193,-0.0266904120288053,-0.0509594168758639,0.11641259321576,0.0127501287335408,0.0587902672929185,-0.0374704439433144,-0.0275273705387686,0,0.288503219992572
DMN101,-0.103625779092952,-0.258298381016593,-0.0956437271982261,-0.0219122684063635,0.155057220365765,-0.00388395055381465,-0.0950887967619261,0.229721997381603,0.0836648224701248,0.288503219992572,0
